""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Zeb2"	0.000750107238932494	-0.210304434955755	0.327	0.413	1
"Peli2"	0.00077332812497506	-0.162097605482805	0.148	0.225	1
"Kcnd3"	0.000849066698763917	-0.352011146368801	0.207	0.285	1
"Clstn2"	0.000880534076224746	-0.35145329016913	0.092	0.147	1
"Ankrd28"	0.000910830422604088	-0.15048276595989	0.182	0.265	1
"Ttll7"	0.000928729838097756	-0.167010961130694	0.359	0.485	1
"Atp5mpl"	0.000939015708882597	0.282937526165989	0.886	0.924	1
"Zfhx4"	0.00101899214211586	-0.296623364859129	0.278	0.367	1
"Cntnap5a"	0.00101987845102425	-0.237341097976395	0.197	0.27	1
"Phyhipl"	0.00102673229840516	-0.156916171648591	0.527	0.642	1
"Mrpl46"	0.00111664699755019	-0.164373449266371	0.155	0.236	1
"Galnt10"	0.00115433976970757	-0.153019326024254	0.259	0.357	1
"Stmn1"	0.00119447155312759	-0.510098787982484	0.283	0.346	1
"Hnrnpa1"	0.00124071890227207	-0.166270487370277	0.568	0.713	1
"Zfp804a"	0.00132558035981674	-0.176077775293198	0.25	0.336	1
"Tmem245"	0.00134944506897228	0.318840349184495	0.297	0.256	1
"Ptprj"	0.00142015783321581	-0.165201828117677	0.075	0.126	1
"Btbd9"	0.00143755770013587	-0.185230236294628	0.642	0.763	1
"Nmt1"	0.00157481866233809	0.289222572537776	0.378	0.351	1
"Rab5if"	0.0017095102107637	-0.163004406609488	0.334	0.452	1
"Glul"	0.00174120768414796	0.153581990479281	0.133	0.081	1
"Fcor"	0.00186993438802628	0.263711716877373	0.21	0.164	1
"Cops6"	0.00207311716585611	-0.159831832411188	0.34	0.463	1
"5033421B08Rik"	0.00218916049760431	0.457193251252246	0.129	0.086	1
"Gm534"	0.00245338111651365	0.277774606728317	0.338	0.284	1
"Plxna4"	0.00247896576130785	-0.171518837940841	0.123	0.181	1
"Rasgef1b"	0.00251391553180837	-0.150630148872126	0.623	0.737	1
"Camta1"	0.002527113480994	-0.166965822609116	0.711	0.806	1
"Dlgap1"	0.00258660398160733	-0.22734537332247	0.186	0.254	1
"Pcdh9"	0.00267878954150639	-0.212649849826472	0.621	0.678	1
"Mir99ahg"	0.00290851973007132	0.356175205081557	0.476	0.465	1
"rDNA"	0.00299914780888898	0.239796035949563	0.68	0.657	1
"Srrm2"	0.00326868618420562	0.188635816157442	0.791	0.824	1
"Gabrr3"	0.00326953507642619	-0.18402697865377	0.194	0.264	1
"Pcdh17"	0.0033895784445902	-0.216527861034284	0.118	0.173	1
"Pde8b"	0.00344796075935847	-0.154534584894613	0.169	0.237	1
"Ptprd"	0.00356467098942493	-0.157971259810027	0.967	0.987	1
"9930021J03Rik"	0.00360975400272629	-0.169539945627873	0.268	0.362	1
"Ndufv1"	0.00373452970502793	-0.162664461476128	0.383	0.497	1
"Golga3"	0.0040522614753362	0.287554718069921	0.286	0.251	1
"Trpm1"	0.00412619776194921	0.185036394120406	0.825	0.802	1
"Pitpnc1"	0.004155915073013	-0.232327392054369	0.242	0.305	1
"Slc24a3"	0.00416739114146604	-0.217348007262588	0.378	0.455	1
"Mt2"	0.00442299833131218	0.38633009244822	0.466	0.427	1
"Vsx1"	0.0045425986057048	-0.23019146753295	0.146	0.201	1
"Calm1"	0.00472640734248256	0.299613247087296	0.891	0.93	1
"Epha3"	0.0047268731379717	-0.190777151019883	0.276	0.346	1
"Cnmd"	0.00503131430538054	-0.20422358826296	0.162	0.225	1
"Cdh8"	0.00513390656176541	-0.286435844664024	0.199	0.258	1
"Ldb2"	0.00585126476989713	-0.196111939321589	0.572	0.649	1
"6720427I07Rik"	0.00634704653746618	0.175065761270765	0.111	0.076	1
"Gm45321"	0.00729418612178271	0.301604781481142	0.236	0.199	1
"Gadd45g"	0.00743619721386776	-0.169853218676731	0.283	0.367	1
"Pde1a"	0.00822365446854274	-0.242936133415514	0.122	0.17	1
"Cwf19l2"	0.00828209163349531	0.250550207793056	0.374	0.355	1
"Gm45435"	0.00890515329508389	0.20467633813527	0.118	0.083	1
"1700012D14Rik"	0.00953462187551982	0.234266493743905	0.222	0.183	1
"Tnnt1"	0.00963825165411654	-0.159243128649873	0.213	0.277	1
"Tmem132d"	0.00971074933926003	0.181514282979306	0.717	0.683	1
"Tmem243"	0.0103438320784826	0.23785056157504	0.212	0.177	1
"Gsg1"	0.0106770126224538	-0.306545983126756	0.248	0.303	1
"Prkca"	0.0107900334616622	0.297171051260317	0.491	0.448	1
"Anks1b"	0.0110048067057756	-0.184976494066299	0.229	0.295	1
"Plekhd1"	0.0114430262183762	0.150388158974808	0.156	0.121	1
"Itgb5"	0.0122682790451357	0.219072045384647	0.114	0.081	1
"C920021L13Rik"	0.0130770540259415	0.185663617696129	0.117	0.084	1
"Rpgrip1"	0.013350899923361	-0.43653548096888	0.188	0.235	1
"Tmsb10"	0.0139168542389666	-0.234708033894758	0.812	0.827	1
"Magi3"	0.0156877229583346	-0.161294547835002	0.363	0.451	1
"Fmn1"	0.0169409529935666	0.150113175847405	0.9	0.899	1
"Zfp365"	0.017044168052819	-0.151744442897656	0.416	0.499	1
"Marcksl1"	0.0178189116578847	-0.17452758656242	0.073	0.11	1
"Blcap"	0.017939014887808	0.197070292707644	0.301	0.285	1
"Hipk2"	0.0186841498050766	0.193602133708692	0.472	0.471	1
"Mpdz"	0.019328464259717	0.150943044672195	0.165	0.131	1
"Pced1b"	0.0196966680787667	0.184151500020232	0.154	0.119	1
"Eif5"	0.0212811645844262	0.204145213142122	0.524	0.556	1
"Grin2b"	0.0215758009694997	-0.160072598584547	0.077	0.111	1
"Rab26os"	0.0218549951291313	0.194263870707602	0.158	0.128	1
"Large1"	0.0224374881007077	-0.227502134247639	0.278	0.336	1
"Tubb2a"	0.0231688721200457	-0.162850337079766	0.437	0.517	1
"Thrsp"	0.0249543110863785	0.252936301983081	0.152	0.119	1
"Chrm3"	0.0251432536432735	-0.226843435461808	0.264	0.315	1
"Pttg1"	0.0253380554832883	0.238926646785567	0.358	0.357	1
"Jun"	0.0254419029996203	-0.150063039288591	0.113	0.15	1
"Gm11418"	0.0255160700423058	0.155288266763771	0.2	0.166	1
"H2bc4"	0.0255334400555219	0.273267995806695	0.704	0.723	1
"Dgki"	0.0255802732347268	0.203571099245259	0.748	0.763	1
"Atp5g3"	0.0260616467806039	0.173015272025038	0.758	0.785	1
"Synpr"	0.0275565238383635	0.165890805415816	0.174	0.132	1
"Syf2"	0.0278568288811015	0.194077893601044	0.287	0.274	1
"Luc7l3"	0.0279650288335437	0.158050966441065	0.745	0.817	1
"Strip2"	0.0281087423456523	0.226760611124575	0.482	0.444	1
"Gm42439"	0.029514573615592	0.222934038234408	0.277	0.26	1
"Gm49769"	0.0312965138778972	0.155207714215907	0.111	0.083	1
"Snhg20"	0.03154788444593	0.205625258955674	0.533	0.58	1
