""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Rlf"	0.353032937780938	0.350874869642819	0.317	0.279	1
"Smc1a"	0.353044440004585	0.152492007046978	0.273	0.239	1
"Ndufv2"	0.353475241403162	0.353327379446085	0.472	0.456	1
"Gpcpd1"	0.353857161127478	-0.178186936760383	0.193	0.226	1
"Mapk10"	0.354276138610329	-0.269270344282897	0.534	0.562	1
"Vps4b"	0.35463850915436	0.181673064759126	0.106	0.08	1
"Atraid"	0.354979870674482	0.260769821298582	0.379	0.363	1
"Arl2"	0.355073283976109	0.250243413233709	0.354	0.341	1
"Lcor"	0.355411006921733	-0.218559036976294	0.273	0.31	1
"Setd1b"	0.3558119741346	0.349321266304283	0.13	0.106	1
"Usp13"	0.356775154290004	-0.245520537825767	0.143	0.177	1
"Fut9"	0.356982841805582	0.342303942407922	0.292	0.265	1
"Igsf8"	0.357545151285641	-0.295337561463061	0.441	0.465	1
"Brinp1"	0.357632408443902	0.300587320031967	0.304	0.274	1
"Cux2"	0.357759127797664	-0.198190565787892	0.217	0.257	1
"Klhdc2"	0.35807194741617	-0.192343983982636	0.23	0.27	1
"Ylpm1"	0.358152742773449	0.192706145008233	0.373	0.332	1
"Dgkb"	0.358421065671212	0.161885748959559	0.143	0.115	1
"Polr1d"	0.358436661843649	-0.170448355044925	0.236	0.274	1
"Aig1"	0.358533263815793	-0.249496154217821	0.422	0.46	1
"Rps27"	0.358905676260532	-0.174792201632842	0.752	0.735	1
"Dach1"	0.3593164324464	0.166785819384583	0.323	0.288	1
"Slc1a1"	0.359535137018122	0.152777393689754	0.248	0.212	1
"Faim2"	0.359833032432036	-0.19829677663134	0.503	0.527	1
"Hprt"	0.360412517009815	-0.254601090721764	0.522	0.535	1
"Emc3"	0.360529835707455	-0.162048297930618	0.143	0.177	1
"4921511C10Rik"	0.360839843001473	-0.202383521719582	0.106	0.137	1
"Rps15a"	0.361160455283337	0.159556986204842	0.615	0.571	1
"Fndc4"	0.361884144357571	0.248921970008417	0.13	0.106	1
"Kcna6"	0.363080537262934	0.198436692148617	0.23	0.195	1
"Trappc2"	0.364489783485346	-0.154957528186305	0.149	0.186	1
"Kmt2d"	0.364649909921288	-0.193799827382496	0.087	0.115	1
"Tmem240"	0.36501776922312	0.273428704169253	0.124	0.097	1
"Dclk2"	0.365493334868446	0.337294773716803	0.248	0.212	1
"Spast"	0.365971328550786	-0.231839516398942	0.112	0.142	1
"3830406C13Rik"	0.366321026838223	0.231581299665656	0.161	0.133	1
"Gcsh"	0.366399613002508	-0.192613327508939	0.161	0.195	1
"Btaf1"	0.366772223839098	0.172860000663087	0.286	0.243	1
"Snap91"	0.367292631675366	0.187167805821914	0.615	0.54	1
"Ttc7b"	0.367752590139867	-0.160000542835325	0.317	0.354	1
"Ankrd29"	0.367859293414743	-0.183162166168572	0.161	0.195	1
"Ccar1"	0.368280698701802	-0.181493441981789	0.366	0.403	1
"Usp8"	0.368461645196239	-0.256901332286351	0.099	0.128	1
"Cndp2"	0.369902828155317	-0.31973697162681	0.174	0.208	1
"Myh10"	0.370824027941473	0.198675729926384	0.255	0.226	1
"Nosip"	0.371379396335745	0.224009338956591	0.124	0.097	1
"Adamtsl1"	0.371519502396059	-0.605093600774041	0.081	0.106	1
"Eepd1"	0.3722937827994	0.213455640594316	0.124	0.097	1
"Ppdpf"	0.372595421623018	-0.266864275411376	0.23	0.274	1
"Nacad"	0.37274303357808	-0.24353437192156	0.075	0.102	1
"P3h2"	0.372798574468355	0.173243282244637	0.199	0.164	1
"Ttc39b"	0.37356040612055	0.199853622386242	0.161	0.133	1
"Glrb"	0.37360118764607	-0.245592796846551	0.286	0.319	1
"Dnajc15"	0.37378608698128	-0.25129566724528	0.236	0.279	1
"Srp72"	0.374791454523934	-0.180795532707738	0.199	0.239	1
"Setd5"	0.375011749649692	0.196505602144421	0.46	0.42	1
"Trnau1ap"	0.375181102893083	-0.504204459614299	0.13	0.155	1
"Txndc11"	0.375181102893083	0.219539385629885	0.161	0.133	1
"Patj"	0.375232772898499	0.178447065131042	0.106	0.08	1
"Syp"	0.375514944807131	-0.270662399543608	0.491	0.527	1
"Gm15810"	0.375559089059861	-0.243612280761131	0.099	0.128	1
"Luzp1"	0.375628144544595	-0.254467272882187	0.18	0.208	1
"Tmsb10"	0.375663221484046	-0.155573562660177	0.46	0.416	1
"Map2k2"	0.375679950515392	-0.178306619589768	0.354	0.398	1
"Rufy1"	0.376051339109568	-0.204471592360777	0.217	0.257	1
"Zc3h7b"	0.376223024598671	0.187061995593871	0.23	0.195	1
"Ep300"	0.37695503485184	0.195380350895388	0.186	0.155	1
"Chd8"	0.37727552792573	0.22496431855276	0.267	0.226	1
